OriginalName,bioGroup,CatalyticGroup,PLtype,Context,replicate,FirstROCgroup,SecondROCgroup,Order,FinalName
ab_L_1.raw,A1B3_Light,NoCat,Light,Control,1,A,,10,
ab_L_2.raw,A1B3_Light,NoCat,Light,Control,2,A,,11,
ab_L_3.raw,A1B3_Light,NoCat,Light,Control,3,A,,12,
c3_H_1.raw,C3_H2O2,Cata,H2O2,Experiment,1,C,C,25,
c3_H_2.raw,C3_H2O2,Cata,H2O2,Experiment,2,C,C,26,
c3_H_3.raw,C3_H2O2,Cata,H2O2,Experiment,3,C,C,27,
c3_L_1.raw,C3_Light,NoCat,Light,Control,1,B,,19,
c3_L_2.raw,C3_Light,NoCat,Light,Control,2,B,,20,
c3_L_3.raw,C3_Light,NoCat,Light,Control,3,B,,21,
c3_noH_1.raw,C3_noH2O2,NoCat,H2O2,Control,1,C,C,28,
c3_noH_2.raw,C3_noH2O2,NoCat,H2O2,Control,2,C,C,29,
c3_noH_3.raw,C3_noH2O2,NoCat,H2O2,Control,3,C,C,30,
k29_L_1.raw,K20_Light,Cata,Light,Spatial,1,,A&B,22,
k29_L_2.raw,K20_Light,Cata,Light,Spatial,2,,A&B,23,
k29_L_3.raw,K20_Light,Cata,Light,Spatial,3,,A&B,24,
k69_L_1.raw,K69_Light,NoCat,Light,Control,1,A&B,,7,
k69_L_2.raw,K69_Light,NoCat,Light,Control,2,A&B,,8,
K69_L_3.raw,K69_Light,NoCat,Light,Control,3,A&B,,9,
k73_H_1.raw,K73_H2O2,Cata,H2O2,Spatial,1,,,31,
k73_H_2.raw,K73_H2O2,Cata,H2O2,Spatial,2,,,32,
k73_H_3.raw,K73_H2O2,Cata,H2O2,Spatial,3,,,33,
kab_L_1.raw,K69A1B3_Light,Cata,Light,Experiment,1,A,A,1,
kab_L_2.raw,K69A1B3_Light,Cata,Light,Experiment,2,A,A,2,
kab_L_3.raw,K69A1B3_Light,Cata,Light,Experiment,3,A,A,3,
kab_nL_1.raw,K69A1B3_noLight,NoCat,Light,Control,1,A,,4,
kab_nL_2.raw,K69A1B3_noLight,NoCat,Light,Control,2,A,,5,
kab_nL_3.raw,K69A1B3_noLight,NoCat,Light,Control,3,A,,6,
kc_L_1.raw,K69C3_Light,Cata,Light,Experiment,1,B,B,13,
kc_L_2.raw,K69C3_Light,Cata,Light,Experiment,2,B,B,14,
kc_L_3.raw,K69C3_Light,Cata,Light,Experiment,3,B,B,15,
kc_nL_1.raw,K69C3_noLight,NoCat,Light,Control,1,B,,16,
kc_nL_2.raw,K69C3_noLight,NoCat,Light,Control,2,B,,17,
kc_nL_3.raw,K69C3_noLight,NoCat,Light,Control,3,B,,18,
